"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal";1;"25.5k";;;
2;"RN1";"R_Array_SIP10";1;"4310R-R2R-104LF";;;
3;"P1";"DSUB-25_Male_EdgeMount_P2.77mm";1;"DB25_Male";;;
4;"S1";"DSUB-25_Female_EdgeMount_P2.77mm";1;"DB25_Female";;;
5;"C1";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"0";;;
